question_text,question_type,difficulty,points,topic_id,language,hint,explanation,estimated_seconds,tags,options,correct_answers,test_cases,status
"What is the worst-case time complexity of QuickSort?",multiple_choice,medium,2,00000000-0000-4000-8000-000000000007,en,"Think about already-sorted input","QuickSort worst case is O(n^2) when pivot is always smallest/largest (e.g. sorted array with first-element pivot). Average is O(n log n).",120,"algorithms,sorting,quicksort","O(n)|false,O(n log n)|false,O(n^2)|true,O(log n)|false",,published
"Which traversal uses a stack (or recursion) and visits root-left-right?",multiple_choice,easy,1,00000000-0000-4000-8000-000000000007,en,,"Pre-order traversal visits Root, then Left subtree, then Right subtree. Uses stack/recursion.",60,"algorithms,tree,traversal","Pre-order|true,In-order|false,Post-order|false,Level-order|false",,published
"Which are linear data structures?",multiple_select,easy,3,00000000-0000-4000-8000-000000000007,en,,"Array, Linked List, Stack, Queue are linear. Tree and Graph are non-linear.",120,"data-structures,fundamentals","Array|true,Linked List|true,Stack|true,Queue|true,Tree|false",,published
"A hash table always has O(1) lookup.",true_false,easy,1,00000000-0000-4000-8000-000000000007,en,,"Average case is O(1) but worst case is O(n) with many collisions (especially with naive hashing).",30,"data-structures,hash,performance","True|false,False|true",,published
"Explain Big-O notation and why we drop constants",essay,medium,5,00000000-0000-4000-8000-000000000007,en,"Think about growth rate","Big-O describes asymptotic upper bound - growth rate as input approaches infinity. We drop constants because they don't change the dominant growth rate; 2n and 100n are both O(n). Important for comparing scalability, not exact performance.",600,"algorithms,complexity,analysis",,,published
"Find the largest element in an array",coding,easy,2,00000000-0000-4000-8000-000000000007,python,"Single pass is enough","Return max element. find_max([3,1,4,1,5,9,2,6]) = 9. Empty array = None or raise error.",300,"python,arrays,basics",,,"||3,1,4,1,5,9,2,6||9||true||1,,||-5,-2,-8,-1||-1||true||1,,||42||42||false||1",published
"Check if string is a palindrome",coding,easy,3,00000000-0000-4000-8000-000000000007,python,"Compare chars from both ends","is_palindrome('racecar') = True, is_palindrome('hello') = False. Case-insensitive, ignore spaces.",300,"python,strings,algorithms",,,"||racecar||true||true||1,,||hello||false||true||1,,||A man a plan a canal Panama||true||false||1",published
"What does AWS S3 stand for?",multiple_choice,very_easy,1,00000000-0000-4000-8000-000000000008,en,,"S3 = Simple Storage Service. Object storage with 11 9s durability.",15,"aws,cloud,storage","Simple Storage Service|true,Secure Storage System|false,Standard Storage Solution|false,Synchronous Storage Service|false",,published
"Which are serverless AWS services?",multiple_select,medium,3,00000000-0000-4000-8000-000000000008,en,,"Lambda, Fargate, API Gateway, DynamoDB (on-demand) are serverless. EC2, RDS are server-based.",180,"aws,cloud,serverless","Lambda|true,Fargate|true,EC2|false,API Gateway|true,RDS|false",,published
"Compare IaaS vs PaaS vs SaaS with examples",essay,hard,7,00000000-0000-4000-8000-000000000008,en,"Mention provider responsibility","IaaS (Infrastructure): provider gives VMs/storage/network - you manage OS+runtime+app. Ex: AWS EC2. PaaS (Platform): provider manages infra+runtime - you deploy code. Ex: Heroku, App Engine. SaaS (Software): fully managed app. Ex: Gmail, Salesforce.",900,"cloud,iaas,paas,saas",,,published
